t-SNE 1,t-SNE 2,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,Kmeans,AgglomerativeClustering,Birch,BisectingKMeans,AffinityPropagation,HDBSCAN,SpectralClustering,DBSCAN
16.237026,-20.07452,1,1,1,1,1,0,1,0,4,1,0,2,11,-1,0,-1
15.6320095,-27.966013,1,1,1,1,1,0,1,0,4,1,0,2,67,-1,0,-1
16.498861,-20.674833,0,1,1,1,1,0,1,0,4,1,0,2,11,-1,0,-1
16.264835,-20.910425,0,0,1,1,1,0,1,0,4,1,0,2,11,-1,0,-1
14.647316,-28.02097,0,0,1,1,1,0,1,0,4,1,0,2,7,-1,0,-1
16.17764,-20.295328,0,0,1,0,0,0,0,0,4,1,0,2,11,-1,0,-1
16.800825,-21.14303,1,1,1,1,1,0,1,0,4,1,0,2,11,-1,0,-1
17.465649,-20.929577,0,1,1,1,1,0,1,0,3,1,0,4,8,-1,0,-1
18.105192,-24.540525,0,1,1,1,0,0,0,0,4,1,0,2,11,-1,0,-1
10.742169,-21.76487,0,1,1,0,1,0,1,0,4,2,0,2,69,-1,0,-1
0.121488914,-20.969273,1,0,1,1,0,0,0,0,4,1,0,2,21,-1,0,-1
-36.49274,-29.488714,1,1,0,0,1,1,1,0,5,4,0,7,111,-1,0,-1
-34.60484,-28.87808,1,1,1,1,0,0,0,0,5,4,0,7,111,-1,0,-1
-36.263638,-26.831419,0,1,1,1,1,0,1,0,5,4,0,7,111,-1,0,-1
-36.496075,-27.026897,1,1,1,1,1,1,1,0,5,4,0,7,111,88,0,-1
-39.315613,-22.794262,0,0,1,0,0,0,1,0,5,4,0,7,76,-1,0,-1
-37.227573,-26.760317,1,1,1,1,1,0,1,0,5,4,0,7,90,88,0,-1
-39.135704,-27.924643,0,0,1,1,0,0,0,0,5,4,0,7,90,88,0,-1
-45.394123,-38.0461,1,0,1,1,0,0,0,0,5,4,1,7,78,81,0,-1
-23.510096,-3.373904,1,0,1,1,0,0,0,0,6,2,0,7,73,145,0,-1
-20.805819,-2.236446,1,1,1,1,0,0,1,0,2,2,0,6,73,145,0,-1
-1.4853028,-8.101922,0,0,1,1,0,0,0,0,5,2,0,7,9,-1,0,-1
-35.48706,-18.117302,0,1,1,1,0,0,0,0,5,4,0,7,128,-1,0,-1
16.981836,25.348883,0,0,1,1,0,0,0,0,1,3,0,2,105,73,0,-1
-19.179716,-0.36246565,1,0,0,1,0,0,1,0,2,2,0,6,100,-1,0,-1
-19.10143,-23.124023,0,1,1,1,1,0,1,0,5,4,0,7,89,-1,0,-1
18.172022,-24.847095,0,1,1,1,1,0,1,0,4,1,0,2,69,143,0,-1
-25.492943,-32.1698,1,1,1,1,0,0,0,0,5,4,0,7,124,-1,0,-1
-41.138897,-20.94209,0,1,1,1,0,0,0,0,5,4,0,7,91,89,0,-1
-41.183674,-21.10744,0,0,1,1,0,1,1,0,5,4,0,7,91,89,0,-1
-8.085514,30.792435,0,1,1,1,1,0,1,0,2,3,0,6,100,-1,0,-1
-5.939098,-26.933374,0,1,1,1,1,0,1,0,2,3,0,7,81,-1,0,-1
-6.034256,-26.80237,0,1,1,1,0,0,0,0,4,3,0,7,81,-1,0,-1
22.03573,-8.591544,0,1,1,1,1,0,1,0,2,2,0,4,3,-1,0,-1
-5.921188,-32.445892,1,1,1,1,1,0,1,0,4,1,0,7,21,147,0,-1
-56.126015,-3.574599,1,0,1,1,0,0,0,0,6,5,1,7,99,112,0,-1
-52.365448,3.0159109,1,1,1,1,1,1,1,0,6,5,1,5,12,110,0,-1
-11.542695,44.81451,0,0,1,0,1,0,1,0,1,3,0,6,15,87,0,-1
-32.18348,-18.950676,0,0,1,0,0,1,1,0,5,4,0,7,128,94,0,-1
-7.9972014,-29.113132,0,0,1,1,1,0,1,0,5,1,0,7,81,147,0,-1
-43.667137,-34.171886,1,0,0,0,0,0,0,0,5,4,1,7,126,83,0,-1
-52.755424,2.652117,0,0,1,1,0,0,0,0,6,5,1,5,12,110,0,-1
-43.720154,-6.8563604,1,0,1,1,0,0,0,0,5,5,1,7,77,64,0,-1
-36.40626,-32.303185,0,1,1,1,0,0,0,0,5,4,0,7,111,86,0,-1
-35.803112,-50.72877,1,0,0,1,1,1,1,0,5,4,1,7,79,41,0,-1
-30.99851,-20.769306,0,1,1,1,0,0,0,0,5,4,0,7,128,94,0,-1
-48.84983,-5.288911,1,1,1,1,0,0,0,0,6,5,1,7,13,106,0,-1
-47.73393,-4.696042,1,0,1,1,1,0,1,0,6,5,1,5,13,106,0,-1
-23.241877,-47.497757,1,1,1,1,0,1,1,0,5,4,0,7,129,9,0,-1
